id,floor,is_apartment,kitchen_area,living_area,rooms,studio,total_area,build_year,building_type_int,latitude,longitude,ceiling_height,flats_count,floors_total,has_elevator
113614,8,False,9.600000381469728,19.5,1,False,35.0,1994,4,55.82666397094727,37.56882858276367,2.4800000190734863,69,14,True
133777,11,False,10.199999809265137,43.70000076293945,3,False,73.19999694824219,1985,4,55.69230270385742,37.49114227294922,2.640000104904175,192,17,True
45979,7,False,8.600000381469727,20.899999618530277,1,False,38.900001525878906,2003,4,55.66607284545898,37.78342819213867,2.640000104904175,82,7,True
78614,2,False,10.0,18.0,1,False,38.0,2006,2,55.7819709777832,37.67012405395508,3.0,132,11,True
37963,2,False,6.0,0.0,3,False,54.0,1961,4,55.6566162109375,37.591556549072266,2.640000104904175,80,5,False
141288,10,False,10.0,46.0,3,False,75.0,1983,4,55.79800796508789,37.80168914794922,2.640000104904175,270,17,True
130176,10,False,10.899999618530272,14.800000190734863,1,False,34.099998474121094,2002,4,55.66303634643555,37.7794303894043,2.75,48,10,True
18403,4,False,5.0,20.4,1,False,32.0,1968,6,55.67942428588867,37.609336853027344,2.640000104904175,60,5,False
22098,5,False,0.0,54.0,3,False,80.0,1934,0,55.71752166748047,37.61862182617188,3.0,71,6,True
78991,3,False,8.600000381469727,29.0,2,False,51.0,1998,4,55.70469665527344,37.750450134277344,2.640000104904175,472,17,True
33785,1,False,0.0,0.0,1,False,32.0,1966,1,55.84742736816406,37.478172302246094,2.4800000190734863,199,5,False
59780,8,False,5.400000095367432,37.09999847412109,3,False,53.29999923706055,1960,1,55.78117370605469,37.58787536621094,2.700000047683716,126,8,True
113778,9,False,9.0,18.0,1,False,39.0,2011,4,55.70074081420898,37.9174919128418,3.0,358,17,True
31642,12,False,0.0,0.0,2,False,51.0,1986,4,55.64530563354492,37.39940643310547,2.640000104904175,256,17,True
64107,4,False,8.0,33.0,2,False,50.0,1968,1,55.64582061767578,37.65547943115234,2.5,72,9,True
62378,7,False,11.220000267028809,17.5,1,False,39.20000076293945,1983,4,55.599098205566406,37.53121566772461,2.640000104904175,252,22,True
66657,4,False,6.5,20.700000762939453,1,False,38.20000076293945,1959,1,55.8172721862793,37.654563903808594,2.4800000190734863,64,5,False
37381,13,False,10.199999809265137,19.700000762939453,1,False,38.29999923706055,1983,4,55.90082931518555,37.58905029296875,2.640000104904175,599,22,True
23763,4,False,7.599999904632568,39.400001525878906,3,False,64.4000015258789,1985,4,55.63652801513672,37.75730514526367,2.640000104904175,305,14,True
96146,12,False,6.559999942779541,51.52000045776367,3,False,62.970001220703125,1971,4,55.71157836914063,37.485294342041016,2.5,191,12,True
78597,8,False,10.0,36.0,2,False,71.0,2003,4,55.70338439941406,37.75647735595703,2.799999952316284,414,14,True
31142,4,False,10.100000381469728,43.900001525878906,3,False,73.80000305175781,1996,4,55.6558837890625,37.756683349609375,2.640000104904175,426,17,True
10441,13,False,11.300000190734863,39.09999847412109,2,False,66.30000305175781,2017,4,55.869815826416016,37.47886276245117,2.700000047683716,264,19,True
58880,12,False,8.600000381469727,20.899999618530277,1,False,38.900001525878906,1978,4,55.59838485717773,37.58101272583008,2.640000104904175,187,12,True
131046,5,False,10.5,44.5,3,False,73.80000305175781,1977,4,55.688087463378906,37.565956115722656,2.640000104904175,510,16,True
75262,1,False,11.5,45.09999847412109,3,False,74.30000305175781,1999,4,55.66723251342773,37.5683822631836,2.640000104904175,127,17,True
50833,4,False,7.0,18.799999237060547,1,False,32.70000076293945,1967,4,55.868751525878906,37.53548431396485,2.640000104904175,281,9,True
42628,9,False,8.5,0.0,1,False,38.59999847412109,1973,4,55.85065460205078,37.52057266235352,2.640000104904175,192,9,True
102273,7,False,8.399999618530273,18.899999618530277,1,False,37.79999923706055,1993,4,55.69612121582031,37.855411529541016,2.640000104904175,271,14,True
29410,1,False,6.0,36.0,3,False,54.29999923706055,1965,1,55.81407165527344,37.71550750732422,2.640000104904175,96,8,True
114843,8,False,9.0,35.0,2,False,47.0,1968,6,55.62715148925781,37.65309143066406,2.640000104904175,84,12,True
43638,3,False,6.0,28.0,2,False,44.0,1960,6,55.8133430480957,37.7272834777832,2.5,80,5,False
45792,9,False,9.0,47.0,3,False,68.0,1982,4,55.66657257080078,37.588008880615234,2.4800000190734863,105,16,True
101084,2,False,6.400000095367432,0.0,2,False,45.0,1968,4,55.70590972900391,37.81481552124024,2.5,287,9,True
89516,4,False,6.0,23.0,2,False,38.0,1975,4,55.67998504638672,37.76795959472656,2.640000104904175,98,14,True
45957,5,False,11.640000343322754,46.61000061035156,3,False,80.8499984741211,2012,4,55.62274169921875,37.304813385009766,2.700000047683716,156,14,True
74386,6,False,6.0,41.900001525878906,3,False,60.09999847412109,1977,4,55.59247970581055,37.54401016235352,2.640000104904175,319,9,True
1298,12,False,10.100000381469728,34.0,2,False,58.59999847412109,1993,4,55.84732055664063,37.34566116333008,2.640000104904175,223,14,True
102472,1,False,3.0,21.0,1,False,31.0,1964,4,55.80602264404297,37.78471374511719,2.640000104904175,72,9,True
2404,3,False,8.0,17.0,1,False,33.0,1950,1,55.83662033081055,37.66314315795898,2.900000095367432,18,3,False
110979,6,False,9.0,31.899999618530277,2,False,53.20000076293945,1993,4,55.85588455200195,37.34414291381836,2.640000104904175,586,16,True
30872,8,False,0.0,0.0,1,False,40.0,2016,4,55.93048858642578,37.54353332519531,2.799999952316284,336,17,True
86181,3,False,6.0,28.5,2,False,45.29999923706055,1971,6,55.61183547973633,37.601806640625,2.640000104904175,94,14,True
47499,2,False,5.0,12.300000190734863,1,False,21.0,1972,1,55.804813385009766,37.72631454467773,2.640000104904175,528,9,True
22445,6,False,6.0,20.0,1,False,34.0,1973,4,55.62763977050781,37.4814682006836,2.640000104904175,285,9,True
20777,4,False,8.0,29.0,2,False,58.0,2009,4,55.55110549926758,37.57188415527344,2.640000104904175,288,15,True
118203,8,False,6.0,26.0,2,False,45.0,1960,1,55.81062698364258,37.522735595703125,2.75,150,8,True
101991,3,False,10.0,31.0,2,False,55.0,2002,4,55.6650619506836,37.7724609375,2.740000009536743,390,14,True
61496,9,False,10.199999809265137,43.400001525878906,3,False,72.80000305175781,1990,4,55.70219039916992,37.68486404418945,2.700000047683716,328,17,True
141044,2,False,6.0,40.0,3,False,59.0,1968,4,55.81178665161133,37.80113220214844,2.640000104904175,355,9,True
